Description,Accession,ALL_19769_B-cell,,ALL_23953_B-cell,,ALL_28373_B-cell,,ALL_9335_B-cell,,ALL_9692_B-cell,,ALL_14749_B-cell,,ALL_17281_B-cell,,ALL_19183_B-cell,,ALL_20414_B-cell,,ALL_21302_B-cell,,ALL_549_B-cell,,ALL_17929_B-cell,,ALL_20185_B-cell,,ALL_11103_B-cell,,ALL_18239_B-cell,,ALL_5982_B-cell,,ALL_7092_B-cell,,ALL_R11_B-cell,,ALL_R23_B-cell,,ALL_16415_T-cell,,ALL_19881_T-cell,,ALL_9186_T-cell,,ALL_9723_T-cell,,ALL_17269_T-cell,,ALL_14402_T-cell,,ALL_17638_T-cell,,ALL_22474_T-cell,,AML_12,,AML_13,,AML_14,,AML_16,,AML_20,,AML_1,,AML_2,,AML_3,,AML_5,,AML_6,,AML_7,,"
"
GAPD Glyceraldehyde-3-phosphate dehydrogenase,D00763_at,1324,P,1415,P,2076,P,1513,P,921,P,632,P,3365,P,1907,P,2398,P,1404,P,794,P,2090,P,6519,P,2912,P,500,P,2411,P,470,P,1509,P,1855,P,2304,P,2676,P,953,P,3038,P,1620,P,1113,P,1781,P,979,P,816,P,714,P,1106,P,673,P,546,P,814,P,1076,P,1360,P,1161,P,659,P,474,P,"
"
ATP SYNTHASE LIPID-BINDING PROTEIN P1 PRECURSOR,D13118_at,3245,P,3827,P,3814,P,3540,P,3731,P,2940,P,3016,P,2834,P,2459,P,3478,P,1794,P,2807,P,5161,P,2516,P,3133,P,3124,P,2270,P,2477,P,3682,P,2925,P,4091,P,3070,P,3820,P,2747,P,2481,P,3406,P,2583,P,3901,P,3772,P,4405,P,3448,P,3415,P,3684,P,1625,P,3102,P,3970,P,3197,P,3363,P,"
"
DNA-(APURINIC OR APYRIMIDINIC SITE) LYASE,D13370_at,2028,P,2650,P,3255,P,1429,P,1430,P,926,P,2566,P,2288,P,1962,P,2753,P,1336,P,1665,P,5909,P,1569,P,1614,P,3047,P,1060,P,1396,P,1698,P,1732,P,2518,P,1666,P,3078,P,1349,P,2175,P,2329,P,1138,P,1539,P,1322,P,782,P,1395,P,1090,P,1933,P,1476,P,2065,P,2256,P,1081,P,1398,P,"
"
KIAA0005 gene,D13630_at,667,P,596,P,786,P,589,P,533,P,432,P,651,P,523,P,518,P,466,P,231,P,228,P,2298,P,1512,P,525,P,971,P,369,P,285,P,686,P,951,P,1119,P,295,P,1277,P,511,P,705,P,631,P,463,P,384,P,317,P,513,P,1012,P,240,P,492,P,470,P,758,P,625,P,453,P,775,P,"
"
40S RIBOSOMAL PROTEIN S23,D14530_at,16642,P,18849,P,20259,P,19386,P,14496,P,17433,P,17886,P,17094,P,18772,P,18636,P,16457,P,20806,P,21409,P,26343,P,18048,P,19439,P,15738,P,19921,P,20593,P,15527,P,19487,P,11800,P,18721,P,18373,P,18048,P,16647,P,11654,P,21381,P,17870,P,16613,P,18004,P,16181,P,19127,P,14755,P,19629,P,14924,P,15402,P,22556,P,"
"
KIAA0105 gene,D14661_at,437,P,352,P,495,P,253,P,337,P,363,P,1008,P,371,P,492,P,243,P,147,P,430,P,1383,P,234,P,598,P,554,P,276,P,408,P,359,P,757,P,531,P,302,P,728,P,582,P,646,P,215,P,403,P,298,P,324,P,562,P,916,P,384,P,552,P,438,P,808,P,363,P,532,P,467,P,"
"
KIAA0107 gene,D14663_at,438,P,399,P,633,P,535,P,532,P,334,P,714,P,726,P,405,P,991,P,419,P,362,P,1569,P,1605,P,610,P,726,P,264,P,301,P,586,P,739,P,924,P,229,P,1076,P,366,P,837,P,585,P,390,P,482,P,211,P,619,P,1142,P,708,P,488,P,924,P,825,P,596,P,449,P,792,P,"
"
PHOSPHATIDYLSERINE SYNTHASE I,D14694_at,1573,P,2115,P,1894,P,1880,P,1707,P,915,P,2050,P,2462,P,1385,P,7830,P,1685,P,1072,P,3836,P,3201,P,1354,P,2137,P,1240,P,1732,P,1334,P,1962,P,1329,P,1047,P,2449,P,1167,P,1462,P,1974,P,1391,P,2044,P,1387,P,2081,P,1501,P,1223,P,1683,P,1124,P,1528,P,1290,P,1319,P,1867,P,"
"
"ATP5A1 ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1, cardiac muscle",D14710_at,3343,P,5603,P,7437,P,4586,P,3656,P,1557,P,5968,P,7729,P,6312,P,10077,P,4801,P,3916,P,13737,P,10179,P,3220,P,6125,P,2097,P,4168,P,4012,P,6088,P,6291,P,3903,P,9097,P,3495,P,5864,P,5759,P,4832,P,5278,P,3253,P,3850,P,3202,P,3377,P,3982,P,3811,P,5511,P,5584,P,1470,P,1562,P,"
"
KIAA0026 gene,D14812_at,2890,P,2051,P,3018,P,2039,P,2086,P,2374,P,5315,P,2774,P,2979,P,4792,P,1844,P,2546,P,7250,P,3089,P,2004,P,2403,P,2193,P,1675,P,1841,P,3286,P,2686,P,1394,P,3350,P,3111,P,2534,P,1582,P,1670,P,2479,P,1315,P,3239,P,2466,P,1230,P,3415,P,1270,P,3477,P,2161,P,2318,P,3295,P,"
"
"ATP SYNTHASE GAMMA CHAIN, MITOCHONDRIAL PRECURSOR",D16562_at,2452,P,3429,P,3758,P,2809,P,3037,P,2914,P,3928,P,3333,P,3205,P,5433,P,1912,P,1913,P,7817,P,8736,P,1812,P,3533,P,2432,P,1436,P,2617,P,3874,P,3826,P,3289,P,4865,P,2849,P,3456,P,3485,P,2143,P,2488,P,1885,P,2605,P,1967,P,886,P,2003,P,3371,P,3793,P,3881,P,2424,P,1643,P,"
"
60S RIBOSOMAL PROTEIN L23,D21260_at,1400,P,1402,P,1501,P,1528,P,4600,P,265,P,2428,P,1709,P,2065,P,1200,P,1254,P,1671,P,15640,P,970,P,358,P,1577,P,207,P,1422,P,1669,P,616,P,833,P,286,P,2107,P,413,P,1390,P,1044,P,250,P,916,P,730,P,1004,P,1831,P,886,P,899,P,897,P,1021,P,566,P,420,P,853,P,"
"
EUKARYOTIC INITIATION FACTOR 4A-LIKE NUK-34,D21853_at,554,P,752,P,1007,P,789,P,836,P,505,P,883,P,847,P,446,P,1922,P,570,P,475,P,1131,P,887,P,600,P,696,P,665,P,613,P,826,P,663,P,670,P,718,P,998,P,739,P,927,P,732,P,1586,P,469,P,464,P,847,P,876,P,664,P,949,P,596,P,1036,P,767,P,570,P,1051,P,"
"
RPL4 Ribosomal protein L4,D23660_at,10477,P,17843,P,19284,P,10328,P,10466,P,14054,P,14446,P,17603,P,18124,P,16789,P,15543,P,15500,P,23135,P,15370,P,11727,P,17535,P,14789,P,12743,P,15654,P,18420,P,11503,P,12474,P,17881,P,16533,P,18263,P,18704,P,13991,P,18591,P,10637,P,10095,P,18796,P,17930,P,15349,P,14181,P,17475,P,16849,P,14547,P,10037,P,"
"
"mRNA, clone HH109 (screened by the monoclonal antibody of insulin receptor substrate-1 (IRS-1))",D23673_at,3617,P,2573,P,1983,P,2407,P,2743,P,1523,P,3525,P,2487,P,1458,P,3098,P,1347,P,1583,P,2965,P,2318,P,1784,P,2634,P,2501,P,3546,P,2465,P,2103,P,2418,P,1925,P,2036,P,1491,P,1545,P,1638,P,1619,P,2250,P,1714,P,1451,P,1391,P,1761,P,1822,P,796,P,1135,P,1619,P,1510,P,1794,P,"
"
Randomly sequenced mRNA,D25274_at,1148,P,1312,P,1538,P,835,P,428,P,426,P,1249,P,1505,P,759,P,1010,P,268,P,802,P,2708,P,1987,P,732,P,1616,P,294,P,665,P,427,P,507,P,1002,P,622,P,1900,P,274,P,1288,P,558,P,788,P,416,P,452,P,1109,P,1119,P,699,P,350,P,849,P,1689,P,1411,P,1066,P,1200,P,"
"
"KIAA0038 gene, partial cds",D26068_at,3355,P,2423,P,3716,P,3103,P,2257,P,2085,P,3968,P,3162,P,3232,P,3338,P,2862,P,3106,P,8464,P,7855,P,4116,P,4436,P,2227,P,2564,P,2416,P,3872,P,3931,P,1744,P,5134,P,2825,P,5320,P,3051,P,2277,P,3172,P,1779,P,4976,P,4984,P,3633,P,4165,P,2255,P,5330,P,3384,P,2148,P,4989,P,"
"
Proteasome subunit HsC10-II,D26598_at,1226,P,2217,P,2273,P,1483,P,1710,P,1457,P,2670,P,3037,P,2573,P,2261,P,1404,P,2422,P,4397,P,2090,P,1312,P,1806,P,1374,P,2263,P,1924,P,2185,P,2635,P,1940,P,3018,P,2022,P,2281,P,1543,P,1469,P,1583,P,1103,P,2056,P,1750,P,1229,P,1215,P,1599,P,2052,P,2195,P,1347,P,1261,P,"
"
Proteasome subunit HsC7-I,D26599_at,1703,P,2396,P,2610,P,1969,P,1812,P,1740,P,1416,P,2702,P,1561,P,3057,P,1555,P,1234,P,3002,P,1684,P,1115,P,1977,P,1128,P,1705,P,1734,P,2474,P,4608,P,3255,P,4807,P,2386,P,3763,P,2555,P,2212,P,1638,P,1320,P,2547,P,1601,P,797,P,2447,P,1368,P,1993,P,3138,P,1293,P,1403,P,"
"
PROTEASOME BETA CHAIN PRECURSOR,D26600_at,1647,P,2162,P,2867,P,1586,P,1368,P,1407,P,1421,P,3015,P,1484,P,1511,P,1845,P,1074,P,3504,P,1059,P,1304,P,1466,P,1475,P,1446,P,1725,P,2361,P,2666,P,1484,P,3508,P,1239,P,2893,P,2277,P,1378,P,1243,P,827,P,1851,P,1656,P,1031,P,1937,P,1346,P,1783,P,1811,P,1762,P,963,P,"
"
DB1,D28118_at,225,P,387,P,347,P,411,P,235,P,188,P,569,P,796,P,212,P,394,P,165,P,194,P,1061,P,2102,P,672,P,572,P,178,P,390,P,278,P,490,P,389,P,218,P,379,P,206,P,384,P,412,P,220,P,512,P,278,P,296,P,672,P,287,P,203,P,466,P,547,P,190,P,407,P,511,P,"
"
"PSMB6 Proteasome (prosome, macropain) subunit, beta type, 6",D29012_at,1944,P,2300,P,1766,P,2348,P,2064,P,1708,P,1775,P,1657,P,1453,P,893,P,1024,P,1369,P,2460,P,980,P,1311,P,1584,P,1240,P,1591,P,1511,P,1598,P,2836,P,2220,P,2471,P,1556,P,1590,P,1576,P,1772,P,1178,P,1356,P,1652,P,2193,P,1849,P,1674,P,1373,P,1562,P,2083,P,1731,P,1579,P,"
"
EIF4A2 Eukaryotic translation initiation factor 4A (eIF-4A) isoform 2,D30655_at,3025,P,3762,P,5734,P,4392,P,2115,P,2003,P,5290,P,4018,P,3965,P,6764,P,2415,P,3438,P,12461,P,7738,P,3355,P,5139,P,5412,P,2510,P,1154,P,6944,P,3738,P,2825,P,4835,P,4611,P,1798,P,3831,P,2465,P,4567,P,2142,P,3037,P,2443,P,2018,P,3498,P,1587,P,4472,P,1581,P,2307,P,2388,P,"
"
KIAA0058 gene,D31767_at,3186,P,2505,P,3069,P,2762,P,2696,P,1951,P,3975,P,3275,P,2822,P,2544,P,1412,P,2640,P,7297,P,7439,P,3565,P,4330,P,1691,P,3038,P,1977,P,3686,P,4187,P,1779,P,4243,P,1868,P,4201,P,3032,P,2461,P,3151,P,1598,P,5828,P,6334,P,3441,P,2859,P,3948,P,4951,P,2855,P,4403,P,4256,P,"
"
"KIAA0070 gene, partial cds",D31890_at,653,P,1786,P,2318,P,964,P,1782,P,1246,P,1236,P,2225,P,1587,P,2325,P,1208,P,857,P,3788,P,1391,P,1114,P,2339,P,1051,P,1571,P,1182,P,2753,P,1408,P,1669,P,2329,P,1558,P,2400,P,2506,P,1171,P,1642,P,1021,P,1496,P,1298,P,1118,P,1464,P,1081,P,1819,P,2033,P,1032,P,948,P,"
"
26S PROTEASOME REGULATORY SUBUNIT P31,D38047_at,2111,P,2651,P,2908,P,2488,P,1629,P,2062,P,1801,P,2463,P,1744,P,1886,P,1803,P,1305,P,3403,P,797,P,1677,P,2465,P,1538,P,1437,P,1555,P,2956,P,4462,P,2429,P,4300,P,2105,P,2839,P,2220,P,1858,P,1734,P,1334,P,2413,P,3703,P,2002,P,1989,P,1476,P,2981,P,2877,P,1565,P,2159,P,"
"
Proteasome subunit z,D38048_at,1053,P,1105,P,1523,P,900,P,578,P,891,P,1351,P,1309,P,1103,P,755,P,537,P,810,P,3054,P,2056,P,889,P,1115,P,642,P,760,P,744,P,1595,P,1606,P,901,P,2141,P,1483,P,1952,P,1034,P,786,P,825,P,781,P,658,P,1285,P,639,P,673,P,856,P,906,P,1072,P,388,P,597,P,"
"
RANBP1 RAN binding protein 1,D38076_at,1279,P,1275,P,1735,P,1355,P,1136,P,1345,P,1148,P,1798,P,834,P,833,P,712,P,977,P,2179,P,639,P,653,P,1410,P,976,P,604,P,955,P,1498,P,2354,P,1324,P,2682,P,2055,P,1006,P,1331,P,937,P,206,P,541,P,1292,P,1785,P,815,P,941,P,506,P,931,P,1670,P,718,P,800,P,"
"
KIAA0078 gene,D38551_at,516,P,688,P,856,P,527,P,395,P,183,P,1334,P,665,P,518,P,1717,P,551,P,423,P,2162,P,559,P,406,P,927,P,269,P,375,P,267,P,958,P,1016,P,510,P,1488,P,873,P,1699,P,861,P,708,P,423,P,262,P,593,P,655,P,288,P,559,P,423,P,445,P,383,P,659,P,609,P,"
"
"KIAA0084 gene, partial cds",D42043_at,2170,P,1909,P,1718,P,1831,P,1056,P,1555,P,2608,P,1291,P,1969,P,1697,P,4297,P,2638,P,2984,P,4587,P,2785,P,2362,P,1411,P,2099,P,1242,P,2558,P,1286,P,686,P,1239,P,855,P,787,P,1075,P,891,P,933,P,692,P,1010,P,1150,P,1054,P,1242,P,646,P,980,P,1276,P,1464,P,1872,P,"
"
Fetus brain mRNA for vacuolar ATPase,D49400_at,1174,P,954,P,1730,P,843,P,950,P,967,P,1000,P,1620,P,839,P,1722,P,934,P,675,P,2207,P,884,P,1383,P,1113,P,1186,P,672,P,685,P,1120,P,1767,P,1198,P,1480,P,1039,P,926,P,1220,P,623,P,1093,P,723,P,1943,P,2205,P,1515,P,1537,P,1079,P,2367,P,1271,P,1684,P,1791,P,"
"
Protein disulfide isomerase-related protein P5,D49489_at,1020,P,1205,P,2504,P,1113,P,721,P,622,P,1949,P,2385,P,1615,P,1567,P,1281,P,1129,P,3662,P,2959,P,959,P,2254,P,932,P,891,P,800,P,1007,P,742,P,396,P,1425,P,792,P,818,P,561,P,451,P,1217,P,663,P,1559,P,777,P,1008,P,742,P,813,P,2282,P,1392,P,329,P,550,P,"
"
Proteasome subunit p40_/ Mov34 protein,D50063_at,1291,P,1014,P,1191,P,1112,P,748,P,651,P,1231,P,1386,P,929,P,1352,P,847,P,853,P,1791,P,1105,P,635,P,1095,P,522,P,746,P,1035,P,1213,P,1520,P,1091,P,1920,P,781,P,1544,P,1203,P,641,P,887,P,757,P,722,P,772,P,682,P,912,P,550,P,435,P,774,P,587,P,1241,P,"
"
CANX Calnexin,D50310_at,4031,P,4058,P,3835,P,3147,P,3151,P,3052,P,5117,P,4212,P,2207,P,4477,P,2680,P,2338,P,7098,P,3705,P,5146,P,4282,P,2612,P,3218,P,2215,P,6862,P,5526,P,3819,P,8149,P,3074,P,6096,P,3989,P,3820,P,5950,P,4135,P,6850,P,7798,P,6544,P,6048,P,4099,P,7808,P,6926,P,5644,P,9116,P,"
"
KIAA0144 gene,D63478_at,760,P,954,P,942,P,451,P,1025,P,520,P,776,P,940,P,859,P,690,P,619,P,846,P,1243,P,768,P,1038,P,1160,P,608,P,488,P,1124,P,738,P,1479,P,643,P,1225,P,511,P,1418,P,1045,P,639,P,886,P,771,P,979,P,1036,P,1286,P,1147,P,568,P,1119,P,340,P,991,P,1180,P,"
"
"KIAA0147 gene, partial cds",D63481_at,931,P,401,P,665,P,505,P,921,P,205,P,985,P,677,P,331,P,198,P,439,P,554,P,777,P,633,P,628,M,1050,P,674,P,612,P,373,P,515,P,1040,P,535,P,845,P,206,P,430,P,682,P,803,P,486,P,543,P,1019,P,778,P,784,P,858,P,191,P,501,P,377,P,1036,P,429,P,"
"
KIAA0151 gene,D63485_at,941,P,727,P,546,P,1150,P,1359,P,599,P,785,P,395,P,847,P,584,P,736,P,630,P,841,P,650,P,717,P,715,P,608,P,811,P,951,P,794,P,1307,P,743,P,1077,P,775,P,746,P,1090,P,627,P,1034,P,1154,P,1217,P,919,P,1187,P,1059,P,358,P,654,P,711,P,936,P,1334,P,"
"
HMG1 High-mobility group (nonhistone chromosomal) protein 1,D63874_at,4157,P,8484,P,9575,P,6270,P,4566,P,4037,P,12920,P,11506,P,11090,P,13767,P,4845,P,8501,P,13825,P,16492,P,9603,P,12848,P,5612,P,10574,P,4577,P,11557,P,12121,P,5315,P,10058,P,7198,P,7021,P,6555,P,5519,P,5819,P,5407,P,4498,P,3762,P,6603,P,6977,P,4207,P,4640,P,3998,P,2792,P,2822,P,"
"
"KIAA0160 gene, partial cds",D63881_at,645,P,629,P,1156,P,352,P,143,P,172,P,1231,P,735,P,264,P,1085,P,522,P,417,P,1632,P,1479,P,757,P,896,P,346,P,549,P,250,P,1000,P,961,P,241,P,1135,P,357,P,1259,P,904,P,321,P,596,P,440,P,520,P,592,P,677,P,792,P,876,P,484,P,249,P,374,P,407,P,"
"
Histone H1x,D64142_at,5152,P,5802,P,4690,P,5712,P,3230,P,6116,P,5451,P,7612,P,4009,P,5490,P,1689,P,3220,P,13306,P,4391,P,15270,P,6179,P,10031,P,7254,P,5453,P,16420,P,7838,P,7461,P,11437,P,15339,P,2499,P,1950,P,7481,P,10730,P,2204,P,18856,P,13477,P,19448,P,13764,P,6028,P,12382,P,7109,P,5819,P,11786,P,"
"
55.11 binding protein,D78151_at,1554,P,1470,P,2038,P,1614,P,1589,P,1090,P,1856,P,1653,P,1899,P,1863,P,1308,P,1208,P,2227,P,1273,P,1468,P,1619,P,1222,P,1530,P,1454,P,1479,P,1826,P,1607,P,2408,P,1069,P,1258,P,1486,P,1602,P,1648,P,1163,P,2267,P,2198,P,2441,P,1723,P,1611,P,2279,P,2152,P,1964,P,1491,P,"
"
"Ornithine decarboxylase antizyme, ORF 1 and ORF 2",D78361_at,9881,P,14466,P,13686,P,12735,P,8117,P,9021,P,12192,P,15261,P,10836,P,16364,P,11520,P,9625,P,15836,P,6872,P,8746,P,12299,P,10797,P,11201,P,2248,P,17544,P,13081,P,10375,P,14536,P,9914,P,5481,P,8270,P,5898,P,12611,P,9125,P,22322,P,15058,P,10940,P,8869,P,9020,P,16493,P,15373,P,15078,P,8784,P,"
"
Ribosomal protein L39,D79205_at,25071,P,21279,P,23776,P,15711,P,13117,P,19701,P,27485,P,17418,P,22419,P,25013,P,22809,P,22769,P,21297,P,33548,P,21024,P,25322,P,19919,P,28171,P,24992,P,23095,P,21518,P,11926,P,21765,P,21643,P,20847,P,21720,P,9529,P,25162,P,26278,P,22125,P,19279,P,16832,P,21653,P,12866,P,23125,P,15085,P,16976,P,21456,P,"
"
KIAA0164 gene,D79986_at,1232,P,1093,P,1710,P,947,P,1034,P,753,P,2163,P,1425,P,1462,P,1995,P,488,P,1586,P,4087,P,2817,P,2314,P,2044,P,850,P,641,P,952,P,2236,P,1911,P,867,P,2262,P,1318,P,3271,P,1345,P,1152,P,1701,P,1043,P,1611,P,1906,P,1747,P,2242,P,1249,P,1364,P,1569,P,1106,P,1850,P,"
"
"KIAA0169 gene, partial cds",D79991_at,977,P,786,P,738,P,858,P,884,P,441,P,847,P,679,P,569,P,616,P,465,P,586,P,1072,P,632,P,787,P,960,P,539,P,654,P,836,P,660,P,1360,P,730,P,1163,P,519,P,581,P,831,P,677,P,880,P,944,P,866,P,844,P,1076,P,666,P,322,P,658,P,860,P,659,P,1042,P,"
"
TPRD,D84294_at,487,P,334,P,898,P,362,P,481,P,1225,P,2138,P,826,P,469,P,2114,P,624,P,616,P,2215,P,2274,P,449,P,795,P,1186,P,504,P,261,P,588,P,551,P,252,P,1041,P,254,P,880,P,570,P,419,P,480,P,524,P,244,P,293,P,156,P,283,P,271,P,183,P,469,P,775,P,223,P,"
"
KIAA0212 gene,D86967_at,4346,P,912,P,1019,P,873,P,2118,P,970,P,4856,P,927,P,3013,P,2590,P,1641,P,5277,P,5342,P,2076,P,1741,P,932,P,2274,P,3045,P,793,P,2554,P,1854,P,1184,P,3044,P,2119,P,2520,P,571,P,1351,P,1276,P,634,P,1024,P,723,P,868,P,450,M,383,P,981,P,1320,P,518,P,685,P,"
"
"CAG-isl 7 {trinucleotide repeat-containing sequence} [human, pancreas, mRNA Partial, 701 nt]",D87735_at,6251,P,9620,P,11512,P,6443,P,8964,P,9859,P,8126,P,10442,P,9352,P,7123,P,8475,P,8548,P,13639,P,13331,P,8316,P,9803,P,10694,P,6993,P,7740,P,9740,P,6719,P,6271,P,9978,P,7927,P,8509,P,8726,P,7349,P,10100,P,7641,P,8089,P,10439,P,11718,P,9390,P,12368,P,9200,P,12367,P,8614,P,11228,P,"
"
RTP,D87953_at,952,P,1358,P,1403,P,1308,P,1142,P,2663,P,1354,P,1080,P,1001,P,2107,P,570,P,960,P,1307,P,879,P,2519,P,1304,P,1582,P,1149,P,780,P,1490,P,1276,P,796,P,1280,P,1106,P,923,P,957,P,641,P,1643,P,1293,P,2887,P,1472,P,2197,P,1833,P,1101,P,2717,P,1412,P,920,P,3219,P,"
"
C-myc binding protein,D89667_at,1271,P,2252,P,3015,P,1083,P,1628,P,1704,P,1834,P,2602,P,2337,P,1992,P,1553,P,1883,P,6771,P,3180,P,1754,P,901,P,2532,P,2510,P,979,P,3622,P,1738,P,1257,P,3122,P,1724,P,2294,P,1969,P,1483,P,2988,P,1962,P,2773,P,3564,P,2993,P,2325,P,4013,P,3751,P,2397,P,2151,P,2002,P,"
"
ATF4 CAMP-dependent transcription factor ATF-4 (CREB2),D90209_at,1095,P,1517,P,2939,P,1639,P,1590,P,1520,P,2058,P,1838,P,1739,P,2189,P,1872,P,2185,P,7693,P,3054,P,2905,P,2393,P,2153,P,3491,P,1239,P,5457,P,2735,P,2044,P,5408,P,3446,P,6133,P,1454,P,2222,P,3389,P,2101,P,4414,P,4596,P,2780,P,2629,P,2338,P,3502,P,2585,P,1749,P,3081,P,"
"
Ras-Like Protein Tc4,HG1112-HT1112_at,1495,P,2422,P,3339,P,1560,P,1196,P,1442,P,1789,P,3859,P,2020,P,1978,P,1936,P,1778,P,3860,P,637,P,920,P,2398,P,1367,P,1004,P,1741,P,1804,P,2926,P,1927,P,3429,P,1992,P,2636,P,2107,P,2279,P,1097,P,990,P,1749,P,1766,P,917,P,1754,P,1205,P,1623,P,1808,P,1223,P,1414,P,"
"
